order_id,customer_id,order_date,total_amount,status
1,813,2023-12-23,203.66,Completed
2,109,2023-08-12,1211.31,Completed
3,287,2023-07-27,1987.9,Completed
4,566,2023-02-21,289.07,Completed
5,649,2023-11-25,1159.76,Completed
6,205,2023-03-20,1396.26,Completed
7,978,2023-06-03,993.27,Pending
8,327,2023-06-03,2112.67,Completed
9,891,2023-07-17,1170.35,Completed
10,891,2023-02-16,219.47,Completed
11,618,2023-10-15,306.0,Completed
12,38,2023-12-07,56.46,Completed
13,175,2023-12-20,728.44,Completed
14,671,2023-05-04,581.88,Completed
15,902,2023-08-05,1644.04,Completed
16,943,2023-07-28,1364.3,Pending
17,338,2023-06-15,1872.27,Cancelled
18,127,2023-10-14,1138.32,Completed
19,104,2023-12-05,1202.95,Completed
20,739,2023-08-02,2370.27,Pending
21,419,2023-12-03,413.39,Completed
22,530,2023-04-23,612.0,Completed
23,868,2023-01-30,700.26,Completed
24,96,2023-09-23,1557.48,Completed
25,43,2023-12-19,441.11,Cancelled
26,328,2023-02-21,1900.6,Completed
27,108,2023-09-25,637.69,Cancelled
28,9,2023-11-12,1094.25,Completed
29,540,2023-06-29,1799.25,Completed
30,872,2023-02-03,474.7,Pending
31,232,2023-06-28,884.62,Completed
32,236,2023-11-30,132.64,Completed
33,494,2023-11-01,1063.41,Completed
34,535,2023-12-01,2696.72,Completed
35,914,2023-07-02,172.36,Completed
36,205,2023-10-06,274.94,Completed
37,469,2023-07-31,259.46,Completed
38,140,2023-10-07,1485.1,Completed
39,655,2023-06-15,364.75,Completed
40,546,2023-07-13,448.32,Completed
41,575,2023-03-03,173.84,Completed
42,810,2023-12-24,2096.17,Completed
43,906,2023-12-28,1564.88,Completed
44,671,2023-04-13,1607.81,Completed
45,647,2023-02-11,56.46,Completed
46,357,2023-06-30,1042.18,Cancelled
47,32,2023-10-16,441.11,Completed
48,269,2023-06-10,449.94,Completed
49,794,2023-01-29,331.09,Pending
50,551,2023-03-30,133.63,Completed
51,259,2023-04-13,452.2,Pending
52,988,2023-11-30,1263.24,Completed
53,874,2023-02-27,842.67,Completed
54,217,2023-01-11,824.82,Completed
55,904,2023-06-15,1789.8,Completed
56,689,2023-08-25,187.18,Completed
57,676,2023-01-06,718.8,Completed
58,198,2023-11-19,692.6,Pending
59,713,2023-05-14,52.0,Completed
60,65,2023-11-29,130.32,Completed
61,23,2023-02-16,746.88,Completed
62,275,2023-03-29,1779.73,Completed
63,271,2023-04-21,504.84,Completed
64,447,2023-12-28,649.28,Completed
65,482,2023-07-11,491.61,Completed
66,543,2023-06-05,319.66,Completed
67,417,2023-12-02,526.24,Completed
68,801,2023-03-21,1090.44,Completed
69,61,2023-05-27,2267.56,Completed
70,448,2023-03-26,1383.49,Pending
71,859,2023-12-11,37.64,Completed
72,991,2023-05-27,2215.0,Completed
73,569,2023-07-18,382.45,Completed
74,596,2023-04-24,3282.09,Completed
75,127,2023-07-12,2369.75,Completed
76,438,2023-09-21,1455.27,Pending
77,952,2023-04-15,939.54,Completed
78,266,2023-05-14,1584.16,Completed
79,268,2023-10-25,1673.42,Completed
80,898,2023-06-27,1337.26,Completed
81,795,2023-08-15,436.92,Completed
82,419,2023-03-29,980.17,Completed
83,565,2023-03-25,1827.8,Completed
84,617,2023-02-16,844.62,Completed
85,467,2023-09-17,1624.43,Completed
86,487,2023-02-28,1131.88,Pending
87,342,2023-01-13,256.06,Completed
88,828,2023-05-21,15.74,Completed
89,727,2023-06-10,179.16,Completed
90,705,2023-10-30,274.94,Completed
91,637,2023-06-19,31.48,Completed
92,939,2023-09-25,317.7,Completed
93,987,2023-03-13,1450.38,Pending
94,868,2023-11-15,363.48,Completed
95,858,2023-05-12,229.94,Completed
96,579,2023-08-09,700.26,Pending
97,45,2023-12-10,955.06,Completed
98,974,2023-06-24,239.7,Completed
99,201,2023-02-28,252.68,Completed
100,336,2023-02-20,1665.69,Pending
101,304,2023-06-09,444.25,Completed
102,189,2023-12-26,1610.36,Completed
103,310,2023-01-06,411.34,Completed
104,590,2023-06-27,629.97,Completed
105,161,2023-01-29,224.88,Completed
106,450,2023-02-22,1882.75,Completed
107,895,2023-09-28,1282.83,Cancelled
108,146,2023-01-12,2636.62,Completed
109,603,2023-01-30,291.28,Pending
110,705,2023-11-29,385.59,Completed
111,959,2023-03-25,684.5,Completed
112,982,2023-02-11,1464.92,Cancelled
113,122,2023-05-17,879.03,Completed
114,947,2023-09-03,907.74,Completed
115,695,2023-01-28,117.34,Completed
116,41,2023-12-30,199.32,Completed
117,149,2023-07-23,966.92,Completed
118,620,2023-10-31,824.82,Completed
119,275,2023-11-11,612.47,Completed
120,668,2023-06-27,810.52,Completed
121,329,2023-10-24,193.14,Completed
122,331,2023-02-25,385.59,Completed
123,37,2023-06-27,41.7,Completed
124,557,2023-12-03,393.98,Completed
125,843,2023-07-04,331.09,Cancelled
126,604,2023-04-18,1112.33,Completed
127,70,2023-11-14,992.25,Completed
128,35,2023-08-05,2471.04,Completed
129,399,2023-12-12,2330.88,Pending
130,600,2023-11-14,622.14,Completed
131,69,2023-12-11,461.34,Completed
132,513,2023-02-07,329.06,Completed
133,622,2023-04-09,2335.76,Completed
134,493,2023-11-15,293.49,Completed
135,367,2023-09-25,1262.07,Pending
136,684,2023-10-14,1862.26,Completed
137,609,2023-10-03,2782.11,Completed
138,380,2023-10-27,1057.14,Completed
139,797,2023-06-14,399.97,Completed
140,556,2023-03-08,134.62,Completed
141,718,2023-07-21,814.49,Completed
142,260,2023-05-11,290.94,Completed
143,170,2023-05-08,576.39,Completed
144,308,2023-05-26,939.93,Completed
145,275,2023-02-21,966.92,Completed
146,269,2023-10-12,591.16,Completed
147,859,2023-02-28,1908.12,Completed
148,837,2023-03-07,442.31,Pending
149,772,2023-03-30,1813.83,Completed
150,343,2023-07-07,1697.77,Completed
151,877,2023-06-25,1364.12,Completed
152,725,2023-10-29,641.33,Completed
153,241,2023-09-23,1257.59,Completed
154,120,2023-05-03,785.24,Completed
155,395,2023-01-01,118.62,Completed
156,791,2023-11-30,1015.86,Completed
157,268,2023-11-16,3410.32,Completed
158,319,2023-01-19,2423.46,Completed
159,707,2023-02-03,177.93,Completed
160,65,2023-03-10,927.88,Completed
161,493,2023-03-07,1720.13,Completed
162,869,2023-11-19,1297.12,Pending
163,512,2023-04-26,335.84,Completed
164,365,2023-08-20,1917.72,Completed
165,774,2023-03-24,295.58,Completed
166,784,2023-10-04,1648.94,Completed
167,340,2023-06-03,129.89,Completed
168,192,2023-02-03,341.33,Pending
169,13,2023-06-02,2217.03,Completed
170,868,2023-08-31,440.74,Completed
171,203,2023-07-15,376.06,Completed
172,671,2023-10-12,1172.53,Completed
173,457,2023-01-10,909.06,Cancelled
174,943,2023-04-13,67.18,Completed
175,497,2023-11-02,1588.89,Completed
176,685,2023-11-05,1568.18,Cancelled
177,462,2023-03-02,1048.91,Completed
178,972,2023-10-08,636.75,Completed
179,414,2023-04-17,126.34,Completed
180,515,2023-01-02,2235.15,Completed
181,524,2023-05-16,732.85,Completed
182,821,2023-05-01,3769.66,Completed
183,408,2023-02-23,2029.75,Completed
184,312,2023-02-05,1331.86,Completed
185,576,2023-02-11,1420.4,Completed
186,736,2023-01-25,1736.39,Completed
187,790,2023-06-12,2111.04,Completed
188,765,2023-06-20,1136.12,Completed
189,762,2023-10-22,132.64,Completed
190,41,2023-08-19,129.73,Completed
191,921,2023-12-03,935.47,Completed
192,976,2023-03-16,187.18,Completed
193,542,2023-06-06,651.15,Completed
194,567,2023-12-07,776.87,Completed
195,918,2023-03-09,2265.94,Cancelled
196,400,2023-06-15,329.06,Completed
197,797,2023-03-07,594.24,Completed
198,353,2023-07-02,195.48,Completed
199,214,2023-01-14,52.52,Completed
200,650,2023-07-08,183.21,Completed
201,342,2023-06-26,31.98,Completed
202,512,2023-06-23,1354.38,Cancelled
203,397,2023-10-09,1086.12,Completed
204,614,2023-04-01,852.42,Completed
205,494,2023-07-31,1015.98,Completed
206,430,2023-10-10,274.94,Completed
207,11,2023-06-09,188.79,Completed
208,799,2023-03-22,909.06,Completed
209,488,2023-01-21,1262.07,Completed
210,625,2023-04-05,541.34,Completed
211,670,2023-03-10,1285.99,Completed
212,569,2023-04-29,746.88,Completed
213,17,2023-09-18,1671.34,Completed
214,428,2023-08-27,990.22,Completed
215,582,2023-12-30,1492.12,Completed
216,603,2023-12-06,1169.38,Completed
217,706,2023-09-27,1178.85,Completed
218,350,2023-01-19,770.45,Pending
219,192,2023-12-10,957.94,Pending
220,1,2023-06-22,962.19,Completed
221,449,2023-08-05,814.92,Completed
222,248,2023-04-02,699.09,Completed
223,465,2023-09-16,379.44,Completed
224,244,2023-01-19,2557.41,Completed
225,655,2023-07-30,66.96,Pending
226,795,2023-09-20,825.2,Cancelled
227,347,2023-11-20,374.82,Completed
228,580,2023-10-18,2160.9,Completed
229,191,2023-09-20,458.52,Completed
230,174,2023-10-10,992.34,Cancelled
231,912,2023-06-29,2924.37,Completed
232,506,2023-12-18,456.23,Completed
233,419,2023-02-20,2623.4,Completed
234,665,2023-01-06,962.19,Completed
235,377,2023-12-31,62.93,Completed
236,462,2023-03-22,2038.23,Completed
237,577,2023-05-27,1268.16,Completed
238,11,2023-12-25,2035.27,Completed
239,473,2023-02-10,66.96,Completed
240,898,2023-10-28,1143.05,Completed
241,470,2023-06-05,128.53,Pending
242,886,2023-06-21,1019.49,Completed
243,745,2023-09-10,224.88,Pending
244,845,2023-06-04,177.93,Completed
245,413,2023-09-21,11.03,Completed
246,389,2023-07-04,581.16,Pending
247,539,2023-06-26,1036.86,Completed
248,878,2023-11-08,454.4,Completed
249,360,2023-03-05,1982.99,Completed
250,621,2023-11-02,364.75,Completed
251,618,2023-11-07,422.31,Completed
252,346,2023-10-31,401.31,Completed
253,331,2023-12-31,1244.51,Completed
254,344,2023-04-04,256.06,Completed
255,532,2023-02-22,461.43,Completed
256,293,2023-01-21,1396.26,Completed
257,471,2023-05-12,549.88,Completed
258,222,2023-10-08,475.76,Completed
259,310,2023-10-24,751.24,Completed
260,446,2023-11-16,1023.99,Completed
261,861,2023-10-24,1024.77,Completed
262,794,2023-04-16,361.14,Completed
263,474,2023-06-06,1146.6,Completed
264,151,2023-09-03,2184.94,Completed
265,24,2023-08-18,1174.7,Completed
266,169,2023-10-29,362.48,Completed
267,77,2023-11-26,920.7,Completed
268,221,2023-01-09,431.94,Completed
269,958,2023-10-28,2621.16,Completed
270,491,2023-09-29,966.21,Pending
271,54,2023-07-19,83.4,Completed
272,101,2023-10-17,1105.97,Completed
273,828,2023-06-22,764.64,Completed
274,451,2023-01-20,2454.53,Completed
275,38,2023-08-31,1503.8,Completed
276,233,2023-04-03,789.36,Completed
277,372,2023-12-16,326.96,Completed
278,53,2023-08-21,271.64,Completed
279,301,2023-01-27,1547.7,Completed
280,747,2023-04-18,452.62,Completed
281,174,2023-06-11,26.26,Completed
282,406,2023-07-02,331.09,Completed
283,441,2023-01-30,363.48,Pending
284,565,2023-04-17,714.11,Completed
285,42,2023-07-22,445.14,Completed
286,302,2023-11-04,872.82,Completed
287,44,2023-01-23,1987.19,Completed
288,540,2023-08-22,1534.08,Completed
289,883,2023-04-02,854.01,Completed
290,793,2023-10-20,887.26,Completed
291,923,2023-08-28,1677.36,Cancelled
292,106,2023-08-28,324.5,Completed
293,430,2023-12-12,212.25,Completed
294,870,2023-12-09,2791.98,Completed
295,813,2023-09-23,128.76,Completed
296,11,2023-03-16,133.63,Completed
297,659,2023-09-30,833.0,Completed
298,461,2023-09-04,273.96,Completed
299,261,2023-04-05,258.5,Completed
300,101,2023-02-03,1800.22,Completed
301,974,2023-01-30,958.95,Completed
302,426,2023-02-09,379.44,Completed
303,753,2023-06-27,887.05,Completed
304,402,2023-10-20,2205.61,Completed
305,125,2023-02-07,2805.66,Completed
306,667,2023-03-14,307.62,Completed
307,478,2023-12-28,590.68,Completed
308,256,2023-09-02,1097.32,Completed
309,540,2023-05-17,828.48,Completed
310,578,2023-05-30,1633.62,Cancelled
311,287,2023-05-03,2483.83,Completed
312,921,2023-10-25,1637.22,Pending
313,861,2023-10-28,2788.81,Completed
314,896,2023-01-26,1565.22,Completed
315,673,2023-04-05,92.76,Completed
316,285,2023-10-16,55.22,Completed
317,399,2023-09-01,658.19,Completed
318,472,2023-08-05,1042.09,Cancelled
319,308,2023-11-26,1253.25,Completed
320,117,2023-11-03,538.56,Completed
321,517,2023-08-18,1829.4,Completed
322,929,2023-08-08,1892.1,Completed
323,679,2023-04-06,1334.04,Completed
324,577,2023-06-09,651.15,Completed
325,851,2023-10-17,770.74,Completed
326,681,2023-03-17,232.22,Completed
327,578,2023-03-09,1203.48,Completed
328,425,2023-05-22,1457.33,Completed
329,24,2023-02-14,1429.76,Completed
330,64,2023-09-27,590.16,Completed
331,85,2023-05-29,975.08,Completed
332,302,2023-05-18,588.3,Completed
333,593,2023-02-24,841.38,Completed
334,685,2023-11-16,454.53,Completed
335,914,2023-03-28,729.5,Completed
336,112,2023-09-23,834.52,Completed
337,293,2023-03-24,159.14,Completed
338,445,2023-04-08,1221.73,Completed
339,276,2023-07-18,441.74,Completed
340,740,2023-01-09,41.7,Pending
341,916,2023-02-07,1299.47,Completed
342,543,2023-05-06,1594.81,Completed
343,346,2023-01-09,723.8,Completed
344,122,2023-07-03,441.11,Completed
345,383,2023-07-17,1804.1,Completed
346,312,2023-09-07,303.66,Completed
347,387,2023-06-06,1448.0,Completed
348,194,2023-07-19,452.89,Completed
349,436,2023-07-01,847.65,Completed
350,943,2023-05-04,852.84,Completed
351,918,2023-01-24,468.27,Pending
352,384,2023-04-02,385.59,Completed
353,373,2023-10-06,823.26,Completed
354,187,2023-03-04,689.82,Completed
355,819,2023-11-23,1662.94,Completed
356,492,2023-10-27,692.86,Completed
357,12,2023-09-30,568.56,Completed
358,974,2023-06-01,1195.41,Completed
359,16,2023-10-01,339.59,Completed
360,573,2023-09-21,662.18,Completed
361,597,2023-10-22,1632.96,Completed
362,65,2023-08-23,1302.98,Completed
363,249,2023-08-12,827.32,Completed
364,862,2023-10-08,814.92,Completed
365,581,2023-10-08,118.62,Completed
366,558,2023-07-24,188.79,Completed
367,679,2023-01-19,789.36,Completed
368,1000,2023-09-05,770.74,Cancelled
369,627,2023-11-29,1255.18,Completed
370,197,2023-05-29,110.44,Completed
371,504,2023-05-08,652.31,Completed
372,930,2023-08-02,671.68,Completed
373,256,2023-04-12,1175.25,Pending
374,203,2023-04-05,1736.12,Completed
375,227,2023-04-19,172.36,Completed
376,731,2023-08-08,1077.76,Completed
377,652,2023-05-22,438.94,Completed
378,809,2023-02-03,441.11,Completed
379,707,2023-03-24,128.76,Completed
380,760,2023-12-03,3089.94,Completed
381,899,2023-04-15,999.96,Completed
382,343,2023-08-08,698.88,Completed
383,792,2023-08-11,1409.92,Pending
384,618,2023-01-01,1675.9,Pending
385,959,2023-02-19,65.16,Completed
386,843,2023-09-09,331.09,Completed
387,429,2023-07-13,469.77,Completed
388,2,2023-03-03,1952.24,Completed
389,700,2023-11-15,642.64,Completed
390,922,2023-08-16,1684.11,Pending
391,94,2023-09-11,224.88,Completed
392,942,2023-10-17,1962.88,Completed
393,628,2023-08-18,145.64,Completed
394,909,2023-03-02,1773.6,Completed
395,522,2023-10-11,193.14,Completed
396,210,2023-02-05,872.62,Completed
397,251,2023-08-22,2176.23,Completed
398,347,2023-09-29,429.4,Completed
399,407,2023-09-02,152.6,Completed
400,548,2023-05-25,907.89,Cancelled
401,761,2023-07-19,906.76,Completed
402,651,2023-04-10,1330.24,Completed
403,669,2023-04-16,127.83,Completed
404,844,2023-06-23,1314.27,Completed
405,224,2023-12-23,1075.84,Pending
406,887,2023-07-11,1710.76,Completed
407,442,2023-04-30,692.01,Completed
408,715,2023-06-10,1192.68,Completed
409,571,2023-10-16,1050.39,Completed
410,475,2023-04-18,1050.44,Pending
411,627,2023-08-05,2722.5,Completed
